8.953862	-3.316
9.018746	-3.295
9.084099	-3.274
9.149926	-3.253
9.216231	-3.232
9.283015	-3.211
9.350284	-3.191
9.418040	-3.170
9.486287	-3.149
9.555028	-3.129
9.624268	-3.108
9.694009	-3.087
9.764256	-3.067
9.835012	-3.046
9.906280	-3.026
9.978065	-3.005
10.050371	-2.985
10.123200	-2.964
10.196557	-2.943
10.270445	-2.923
10.344869	-2.902
10.419832	-2.881
10.495339	-2.861
10.571392	-2.840
10.647997	-2.819
10.725157	-2.798
10.802875	-2.777
10.881158	-2.756
10.960007	-2.736
11.039428	-2.715
11.119424	-2.694
11.200000	-2.673
11.281160	-2.652
11.362908	-2.631
11.445248	-2.610
11.528185	-2.589
11.611723	-2.569
11.695866	-2.548
11.780619	-2.527
11.865986	-2.506
11.951972	-2.485
12.038581	-2.464
12.125818	-2.443
12.213686	-2.423
12.302192	-2.402
12.391339	-2.381
12.481131	-2.360
12.571575	-2.340
12.662674	-2.319
12.754432	-2.298
12.846856	-2.277
12.939950	-2.256
13.033718	-2.236
13.128166	-2.215
13.223298	-2.194
13.319119	-2.173
13.415635	-2.152
13.512851	-2.131
13.610770	-2.110
13.709399	-2.090
13.808743	-2.069
13.908807	-2.048
14.009596	-2.027
14.111116	-2.006
14.213370	-1.985
14.316366	-1.965
14.420109	-1.944
14.524603	-1.923
14.629854	-1.902
14.735868	-1.881
14.842650	-1.860
14.950206	-1.840
15.058541	-1.819
15.167662	-1.798
15.277573	-1.777
15.388281	-1.756
15.499790	-1.736
15.612108	-1.715
15.725240	-1.694
15.839192	-1.673
15.953969	-1.652
16.069578	-1.631
16.186025	-1.611
16.303315	-1.590
16.421456	-1.569
16.540453	-1.548
16.660311	-1.527
16.781039	-1.506
16.902641	-1.486
17.025125	-1.465
17.148496	-1.444
17.272761	-1.423
17.397926	-1.402
17.523999	-1.381
17.650985	-1.361
17.778891	-1.340
17.907725	-1.319
18.037491	-1.298
18.168199	-1.277
18.299853	-1.256
18.432461	-1.235
18.566030	-1.215
18.700567	-1.194
18.836079	-1.173
18.972573	-1.152
19.110056	-1.131
19.248536	-1.110
19.388019	-1.090
19.528512	-1.069
19.670024	-1.048
19.812561	-1.028
19.956131	-1.007
20.100741	-0.987
20.246400	-0.967
20.393113	-0.948
20.540890	-0.928
20.689738	-0.909
20.839664	-0.889
20.990677	-0.870
